dt vl vr
0.00 0.300 0.298
0.02 0.300 0.298
0.04 0.300 0.298
0.06 0.300 0.298
0.08 0.300 0.298
0.10 0.300 0.298
0.12 0.300 0.298
0.14 0.300 0.298
0.16 0.300 0.298
0.18 0.300 0.298
0.20 0.300 0.298
0.22 0.300 0.298
0.24 0.300 0.298
0.26 0.300 0.298
0.28 0.300 0.298
0.30 0.300 0.298
0.32 0.300 0.298
0.34 0.300 0.298
0.36 0.300 0.298
0.38 0.300 0.298
0.40 0.300 0.298
0.42 0.300 0.298
0.44 0.300 0.298
0.46 0.300 0.298
0.48 0.300 0.298
0.50 0.300 0.298
0.52 0.300 0.298
0.54 0.300 0.298
0.56 0.300 0.298
0.58 0.300 0.298
0.60 0.300 0.298
0.62 0.300 0.298
0.64 0.300 0.298
0.66 0.300 0.298
0.68 0.300 0.298
0.70 0.300 0.298
0.72 0.300 0.298
0.74 0.300 0.298
0.76 0.300 0.298
0.78 0.300 0.298
0.80 0.300 0.298
0.82 0.300 0.298
0.84 0.300 0.298
0.86 0.300 0.298
0.88 0.300 0.298
0.90 0.300 0.298
0.92 0.300 0.298
0.94 0.300 0.298
0.96 0.300 0.298
0.98 0.300 0.298
1.00 0.300 0.298
1.02 0.300 0.298
1.04 0.300 0.298
1.06 0.300 0.298
1.08 0.300 0.298
1.10 0.300 0.298
1.12 0.300 0.298
1.14 0.300 0.298
1.16 0.300 0.298
1.18 0.300 0.298
1.20 0.300 0.298
1.22 0.300 0.298
1.24 0.300 0.298
1.26 0.300 0.298
1.28 0.300 0.298
1.30 0.300 0.298
1.32 0.300 0.298
1.34 0.300 0.298
1.36 0.300 0.298
1.38 0.300 0.298
1.40 0.300 0.298
1.42 0.300 0.298
1.44 0.300 0.298
1.46 0.300 0.298
1.48 0.300 0.298
1.50 0.300 0.298
1.52 0.300 0.298
1.54 0.300 0.298
1.56 0.300 0.298
1.58 0.300 0.298
1.60 0.300 0.298
1.62 0.300 0.298
1.64 0.300 0.298
1.66 0.300 0.298
1.68 0.300 0.298
1.70 0.300 0.298
1.72 0.300 0.298
1.74 0.300 0.298
1.76 0.300 0.298
1.78 0.300 0.298
1.80 0.300 0.298
1.82 0.300 0.298
1.84 0.300 0.298
1.86 0.300 0.298
1.88 0.300 0.298
1.90 0.300 0.298
1.92 0.300 0.298
1.94 0.300 0.298
1.96 0.300 0.298
1.98 0.300 0.298
2.00 0.300 0.298
2.02 0.300 0.298
2.04 0.300 0.298
2.06 0.300 0.298
2.08 0.300 0.298
2.10 0.300 0.298
2.12 0.300 0.298
2.14 0.300 0.298
